,Danceability,Tempo,Instrumentalness,Energy,Acousticness,Valence,Liveness,Loudness,Speechiness,Label
0,0.521,129.9,0.00124,0.453,0.902,0.2,0.127,-10.653,0.0365,2
1,0.515,88.964,0.00598,0.479,0.544,0.284,0.191,-7.458,0.0261,2
2,0.315,88.045,0.000211,0.22,0.822,0.0723,0.245,-13.156,0.037,2
3,0.732,102.087,0.0,0.243,0.939,0.106,0.111,-6.023,0.0435,2
4,0.498,118.917,0.0,0.235,0.72,0.0895,0.144,-16.541,0.188,2
5,0.907,139.957,0.00351,0.371,0.00847,0.287,0.0918,-9.932,0.162,2
6,0.576,124.973,0.0,0.173,0.899,0.354,0.108,-11.239,0.0392,2
7,0.649,104.542,0.000167,0.493,0.586,0.277,0.0667,-7.645,0.11,2
8,0.675,130.098,0.0,0.562,0.233,0.309,0.0816,-7.678,0.0352,2
9,0.751,129.953,0.000988,0.614,0.152,0.232,0.0986,-4.738,0.0274,2
10,0.628,119.921,0.0,0.744,0.0257,0.277,0.313,-4.718,0.0379,2
11,0.692,92.98,0.0,0.582,0.265,0.734,0.269,-5.799,0.164,2
12,0.732,95.971,0.0,0.463,0.374,0.397,0.194,-6.972,0.0287,2
13,0.42,69.178,2.7e-05,0.377,0.237,0.0387,0.129,-7.212,0.0369,2
14,0.743,137.964,0.00304,0.632,0.162,0.614,0.14,-8.456,0.0426,2
15,0.764,123.98,0.0013,0.326,0.731,0.237,0.24,-9.883,0.0342,2
16,0.716,104.017,0.0678,0.217,0.752,0.339,0.0751,-11.15,0.0396,2
17,0.59,156.073,0.0,0.598,0.0697,0.34,0.112,-7.153,0.609,2
18,0.714,113.032,0.904,0.131,0.975,0.685,0.354,-21.958,0.0556,2
19,0.568,114.181,0.00578,0.364,0.75,0.511,0.145,-11.099,0.0521,2
20,0.66,143.972,0.00349,0.313,0.487,0.226,0.105,-13.287,0.0263,2
21,0.826,131.883,3.77e-05,0.483,0.609,0.116,0.145,-11.298,0.371,2
22,0.603,118.449,2.37e-05,0.155,0.979,0.115,0.117,-12.669,0.046,2
23,0.658,74.038,5.2e-05,0.294,0.422,0.358,0.0749,-8.533,0.0321,2
