Danceability,Tempo,Instrumentalness,Energy,Acousticness,Valence,Liveness,Loudness,Speechiness,Label
0.567,116.362,0.000309,0.388,0.782,0.452,0.248,-9.579,0.0384,2
0.489,134.045,0.0,0.598,0.218,0.172,0.35,-4.929,0.036,2
0.759,96.992,0.000154,0.245,0.515,0.209,0.102,-6.545,0.138,2
0.704,120.006,0.657,0.225,0.902,0.243,0.106,-14.454,0.0994,2
0.541,84.832,0.00145,0.646,0.558,0.47,0.101,-6.451,0.226,2
0.664,119.973,5.75e-05,0.738,0.188,0.203,0.135,-4.095,0.0338,2
0.451,108.99,0.194,0.499,0.0706,0.187,0.116,-6.016,0.0269,2
0.561,102.128,2.62e-05,0.0848,0.913,0.206,0.112,-15.099,0.0404,2
0.873,119.997,0.0,0.473,0.254,0.465,0.111,-6.529,0.0484,2
0.351,115.284,0.0,0.296,0.934,0.12,0.095,-10.109,0.0333,2
0.53,105.003,0.000601,0.362,0.0258,0.21,0.101,-7.078,0.0272,2
0.451,141.475,7.71e-06,0.159,0.941,0.229,0.12,-10.443,0.0487,2
0.468,79.82,2.12e-05,0.428,0.459,0.176,0.204,-10.775,0.0343,2
0.72,98.925,0.00016,0.316,0.803,0.442,0.154,-12.532,0.0414,2
0.263,83.825,2.96e-05,0.353,0.872,0.33,0.0786,-7.152,0.028,2
0.319,79.764,0.00384,0.0561,0.935,0.082,0.388,-23.023,0.045,2
0.509,67.604,0.0,0.158,0.606,0.327,0.101,-16.141,0.0356,2
0.554,130.11,0.397,0.318,0.289,0.0565,0.123,-13.288,0.0392,2
0.518,160.005,0.256,0.572,0.00715,0.347,0.139,-9.037,0.0291,2
0.486,75.664,0.0,0.267,0.869,0.21,0.156,-11.511,0.0535,2
0.413,107.641,0.000624,0.514,0.349,0.148,0.0807,-7.934,0.0327,2
0.367,82.642,3.97e-05,0.111,0.978,0.198,0.0897,-14.084,0.0972,2
0.331,134.546,0.00194,0.209,0.742,0.105,0.113,-12.15,0.0299,2
0.376,148.835,0.00162,0.473,0.00527,0.0398,0.123,-5.636,0.0325,2
0.47,71.328,0.00137,0.125,0.928,0.117,0.145,-18.941,0.0431,2
0.641,159.884,0.185,0.475,0.504,0.466,0.126,-10.888,0.0364,2
0.634,122.015,0.000805,0.529,0.784,0.451,0.0902,-10.026,0.0284,2
0.618,144.963,0.0,0.292,0.756,0.486,0.114,-10.826,0.0422,2
0.735,121.011,0.871,0.686,0.00108,0.0656,0.0933,-7.562,0.0366,2
0.662,147.997,0.0,0.714,0.312,0.464,0.179,-5.68,0.121,2
0.653,100.168,0.0,0.198,0.933,0.286,0.12,-10.538,0.0295,2
0.714,115.968,0.00117,0.201,0.901,0.25,0.0709,-10.914,0.0344,2
0.481,130.029,0.0,0.285,0.9,0.316,0.123,-10.848,0.0424,2
0.385,58.568,0.0491,0.0596,0.96,0.318,0.276,-22.701,0.0441,2
0.417,179.801,0.0,0.498,0.838,0.37,0.0748,-6.077,0.0845,2
0.664,118.253,0.0,0.753,0.057,0.54,0.088,-3.589,0.0323,2
0.482,99.365,6.16e-06,0.24,0.937,0.169,0.125,-12.191,0.0311,2
0.47,152.013,1.32e-06,0.351,0.757,0.392,0.556,-9.385,0.034,2
0.484,134.041,0.000362,0.0923,0.97,0.249,0.0649,-9.923,0.0486,2
0.357,145.743,0.00654,0.434,0.244,0.0907,0.0808,-11.521,0.0418,2
0.32,177.4,0.0,0.295,0.691,0.171,0.129,-11.263,0.052,2
0.287,80.253,9.1e-05,0.481,0.418,0.356,0.108,-7.514,0.03,2
0.616,135.187,7.83e-06,0.302,0.92,0.205,0.165,-8.767,0.0619,2
0.252,95.405,0.359,0.292,0.117,0.195,0.414,-12.303,0.0282,2
0.534,145.697,8.36e-05,0.209,0.837,0.291,0.111,-11.883,0.034,2
0.669,152.676,0.0,0.138,0.766,0.561,0.0924,-13.504,0.0534,2
0.304,115.712,7.71e-05,0.183,0.893,0.296,0.0927,-11.836,0.0321,2
0.578,139.442,0.0,0.731,0.243,0.501,0.112,-5.966,0.0922,2
0.496,121.52,0.0,0.27,0.843,0.234,0.114,-9.932,0.0361,2
0.65,119.522,0.0,0.171,0.921,0.284,0.127,-9.005,0.0519,2
0.534,140.632,0.0126,0.434,0.0932,0.0395,0.142,-9.423,0.0277,2
0.483,86.856,0.0,0.271,0.835,0.134,0.13,-10.981,0.0569,2
0.447,131.324,0.0,0.126,0.565,0.109,0.0762,-19.511,0.0334,2
0.592,109.978,1.84e-05,0.348,0.193,0.0614,0.117,-6.704,0.0249,2
0.533,122.062,0.00815,0.587,0.37,0.356,0.0956,-9.243,0.0399,2
0.631,119.636,0.0,0.609,0.565,0.38,0.635,-7.394,0.0886,2
0.313,77.27,0.0,0.429,0.787,0.416,0.0863,-7.415,0.0343,2
0.62,129.979,0.0136,0.193,0.638,0.155,0.107,-13.404,0.0439,2
0.638,98.367,0.0,0.25,0.865,0.319,0.11,-5.854,0.0403,2
0.568,73.331,0.000155,0.046,0.968,0.177,0.1,-17.929,0.0603,2
0.492,92.6,0.0,0.275,0.687,0.18,0.101,-13.4,0.3,2
0.4,85.593,0.0985,0.106,0.909,0.0791,0.165,-16.051,0.0398,2
0.435,128.532,0.0,0.155,0.873,0.0935,0.107,-8.948,0.046,2
0.674,123.932,0.0,0.449,0.566,0.159,0.133,-6.706,0.0317,2
0.6,119.994,0.0,0.653,0.0953,0.43,0.122,-8.309,0.0594,2
